risk_factor,severity,suggestion
Trial of Competitor Service - Jul,Critical,Launch win-back campaign with strong value prop
Seasonal Churn Risk - Feb,High,Launch pre-emptive seasonal retention campaign
Extremely High Monthly Charges,Critical,Executive review and customized pricing plan
Notice: Customer Approaching Churn Anniversary,High,Pre-emptive loyalty reward before anniversary
Missed Check-in Calls - Q1,Medium,Reschedule and send calendar invite proactively
Data Loss Incident - Q3,Low,Emergency recovery plan and customer communication
Customer Approaching Churn Anniversary - Q4,High,Pre-emptive loyalty reward before anniversary
Slow Onboarding Progress - App Channel,High,Assign onboarding specialist for hands-on support
Refund Request Pending - Mobile Channel,High,Expedite refund processing and follow up
Issue: Post-Upgrade Dissatisfaction,High,Offer rollback option or alternative plan
Notice: Portal Access Issue,High,IT team intervention and temporary access provision
Strategic Customer At Risk - Sep,Critical,Assign dedicated relationship manager
Refund Request Pending - Q4,High,Expedite refund processing and follow up
Trend: Mobile App Crash Reported,Critical,Escalate to mobile dev team and offer workaround
Incomplete Profile - New Customer,Low,Encourage profile completion with incentive
Detected: Account Merge Request Pending,Medium,Expedite account consolidation process
Customer Unreachable - Consumer Segment,High,Attempt all available contact channels
Industry-wide Churn Trend,Medium,Benchmark and offer competitive advantages
Portal Access Issue - App Channel,High,IT team intervention and temporary access provision
Social Media Complaint - Region A,High,Respond publicly and follow up privately
Frequent Complaints - Q3,High,Assign dedicated support manager
Trend: SLA Breach Reported,Critical,Compensate customer and fix process gap
API Usage Decline - Jul,Medium,Offer developer support session
Training Not Attended - Jun,Medium,Reschedule training with calendar invite
Account Compromise Reported - Region C,Critical,Immediate lockdown and security restoration
Post-Upgrade Dissatisfaction - Region A,High,Offer rollback option or alternative plan
Performance Degradation - May,High,Prioritize performance fix and update customer
Signal: Support Ticket Ignored,Critical,Immediate escalation and apology
Flagged: Incomplete Profile,Low,Encourage profile completion with incentive
Low NPS Score - High Value,High,Request detailed feedback and schedule improvement call
SLA Breach Reported - Nov,Critical,Compensate customer and fix process gap
Billing Dispute History - Jul,High,Assign billing specialist and expedite resolutions
Survey Non-Response - Q4,Low,Send follow-up survey with simplified format
Third-Party Review Complaint - Sep,High,Address review and reach out for resolution
Pause Service Request - Mobile Channel,High,Offer discounted pause plan instead of cancellation
Downtime Exceeding SLA - Apr,Critical,Compensate per SLA terms and conduct post-mortem
Signal: Disputed Charge Unresolved,Critical,Escalate to billing manager for immediate resolution
Feature Usage Drop - Web Channel,Medium,Re-educate customer on feature benefits
Pattern: Competitor Pricing Inquiry,High,Provide competitive price match or value justification
Signal: Strategic Customer At Risk,Critical,Assign dedicated relationship manager
Multiple Negative Reviews - Jun,Medium,Dedicated account recovery team assignment
High Value Customer - Region B,High,Assign dedicated account manager proactively
Alert: Escalated Ticket History,High,Assign VIP support tier permanently
High Churn Risk - Region A,Critical,Provide exclusive loyalty rewards and priority support
Detected: Referral Churned,Medium,Address referred customer experience and re-engage
High Support Tickets - Q3,High,Assign premium support representative
Notice: Opted Out of Marketing,Critical,Respect preference and focus on transactional touchpoints
Detected: Competitor Feature Inquiry,High,Highlight product roadmap and unique differentiators
Price Increase Complaint - SMB Segment,High,Offer loyalty discount to offset price increase
Pattern: Competitor Pricing Inquiry,High,Provide competitive price match or value justification
Short Contract Duration - Q3,Medium,Promote long-term plans with loyalty rewards
Alert: Price Sensitive Customer,Low,Offer personalized discount and flexible plan
Loyalty Points Expiring - Aug,Low,Notify customer and encourage redemption
Trend: Reduced Session Duration,Medium,Analyze usage pattern and optimize UX
Very Low Customer Satisfaction - Region A,Critical,Immediate retention intervention and apology offer
Low Loyalty Score - Aug,Medium,Offer loyalty rewards program enrollment
Multiple Billing Errors - Feb,Critical,Senior billing review and account credit
Pattern: SMB Customer At Risk,High,Tailored SMB retention package
Warning: Disputed Charge Unresolved,Critical,Escalate to billing manager for immediate resolution
Pattern: High Support Tickets,High,Assign premium support representative
Detected: Hidden Fee Complaint,Critical,Waive fees and provide transparent billing breakdown
Data Loss Incident - Sep,Critical,Emergency recovery plan and customer communication
Warning: Zero Usage Last 60 Days,Critical,Assign customer success manager for recovery
Short Contract Duration - High Value,Medium,Promote long-term plans with loyalty rewards
Trend: Early Termination Risk,Critical,Waive termination fees with renewal commitment
New Customer Risk - Premium Segment,High,Provide onboarding assistance and welcome package
Setup Incomplete - Jan,Medium,Send guided setup checklist with support contact
Warning: Low Loyalty Score,Medium,Offer loyalty rewards program enrollment
Low Internet Usage - App Channel,Low,Recommend value-added internet services
Frequent Complaints - App Channel,High,Assign dedicated support manager
Post-Complaint Silence - Q3,High,Proactive follow-up to rebuild trust
Signal: Short Contract Duration,Medium,Promote long-term plans with loyalty rewards
Low Loyalty Score - Q3,Medium,Offer loyalty rewards program enrollment
Competitor Promotion Mention - Mar,High,Match or beat competitor offer immediately
Data Usage Anomaly - New Customer,Medium,Alert customer and recommend suitable data plan
Customer Idle After Complaint - Feb,High,Proactive follow-up to confirm satisfaction
Inactive Customer - Premium Segment,Critical,Offer reactivation incentives and special return deal
High Value Customer - May,High,Assign dedicated account manager proactively
Data Loss Incident - App Channel,Critical,Emergency recovery plan and customer communication
Issue: Mobile App Crash Reported,High,Escalate to mobile dev team and offer workaround
Risk: High Billing Concerns,Medium,Review billing plan with customer service team
Customer Approaching Churn Anniversary - Dec,High,Pre-emptive loyalty reward before anniversary
Issue: Failed Payment Attempt,High,Proactively reach out with payment assistance
Downgrade Request Submitted - Web Channel,Critical,Counter-offer with customized retention deal
Hidden Fee Complaint - Dec,Critical,Waive fees and provide transparent billing breakdown
Issue: Competitor Pricing Inquiry,High,Provide competitive price match or value justification
Risk: Account Compromise Reported,Critical,Immediate lockdown and security restoration
Loyalty Points Expiring - Mobile Channel,Low,Notify customer and encourage redemption
Low Mobile App Usage - Mobile Channel,Low,Promote mobile app benefits with tutorial
Low Self-Service Usage - Jan,Low,Provide self-service portal tutorials
Low Streaming Usage - Oct,Medium,Promote entertainment bundle upgrade
Loyalty Points Expiring - Feb,Critical,Notify customer and encourage redemption
Issue: Low Phone Usage,Low,Recommend optimized phone plan
Training Not Attended - Jun,Medium,Reschedule training with calendar invite
Detected: VIP Customer Not Treated as VIP,Critical,Immediate escalation and VIP experience delivery
Downgrade Request Submitted - New Customer,Critical,Counter-offer with customized retention deal
Negative Feedback History - Q4,High,Conduct customer satisfaction survey and follow-up
Trend: Low Tenure,High,Provide personalized onboarding session
Seasonal Churn Risk,Medium,Launch pre-emptive seasonal retention campaign
Pattern: No Recent Login Activity,Medium,Send re-engagement email with tips
Pause Service Request - Q4,High,Offer discounted pause plan instead of cancellation
Customer Feels Undervalued - Q4,High,Personalized appreciation package and outreach
High Monthly Charges - Premium Segment,Medium,Offer 15% discount on next billing cycle
